brief_id,brand,name,start_date,end_date,created_at,created_by
B1,Stripe,Challenge Brief 1,2026-05-01,2026-06-30,2026-04-25 10:00:00,U88
B2,Google,Challenge Brief 2,2026-05-01,2026-06-30,2026-04-25 10:00:00,U66
B3,Meta,Challenge Brief 3,2026-05-01,2026-06-30,2026-04-25 10:00:00,U31
B4,Stripe,Challenge Brief 4,2026-05-01,2026-06-30,2026-04-25 10:00:00,U53
B5,Nike,Challenge Brief 5,2026-05-01,2026-06-30,2026-04-25 10:00:00,U1
B6,Tesla,Challenge Brief 6,2026-05-01,2026-06-30,2026-04-25 10:00:00,U88
B7,Nike,Challenge Brief 7,2026-05-01,2026-06-30,2026-04-25 10:00:00,U67
B8,Stripe,Challenge Brief 8,2026-05-01,2026-06-30,2026-04-25 10:00:00,U35
B9,Tesla,Challenge Brief 9,2026-05-01,2026-06-30,2026-04-25 10:00:00,U74
B10,Nike,Challenge Brief 10,2026-05-01,2026-06-30,2026-04-25 10:00:00,U94
B11,Meta,Challenge Brief 11,2026-05-01,2026-06-30,2026-04-25 10:00:00,U100
B12,Stripe,Challenge Brief 12,2026-05-01,2026-06-30,2026-04-25 10:00:00,U25
B13,Stripe,Challenge Brief 13,2026-05-01,2026-06-30,2026-04-25 10:00:00,U64
B14,Meta,Challenge Brief 14,2026-05-01,2026-06-30,2026-04-25 10:00:00,U71
B15,Nike,Challenge Brief 15,2026-05-01,2026-06-30,2026-04-25 10:00:00,U31
B16,Pfizer,Challenge Brief 16,2026-05-01,2026-06-30,2026-04-25 10:00:00,U8
B17,Nike,Challenge Brief 17,2026-05-01,2026-06-30,2026-04-25 10:00:00,U56
B18,Nike,Challenge Brief 18,2026-05-01,2026-06-30,2026-04-25 10:00:00,U28
B19,Google,Challenge Brief 19,2026-05-01,2026-06-30,2026-04-25 10:00:00,U79
B20,Nike,Challenge Brief 20,2026-05-01,2026-06-30,2026-04-25 10:00:00,U86
B21,Nike,Challenge Brief 21,2026-05-01,2026-06-30,2026-04-25 10:00:00,U50
B22,Tesla,Challenge Brief 22,2026-05-01,2026-06-30,2026-04-25 10:00:00,U25
B23,Nike,Challenge Brief 23,2026-05-01,2026-06-30,2026-04-25 10:00:00,U68
B24,Tesla,Challenge Brief 24,2026-05-01,2026-06-30,2026-04-25 10:00:00,U38
B25,Stripe,Challenge Brief 25,2026-05-01,2026-06-30,2026-04-25 10:00:00,U45
B26,Tesla,Challenge Brief 26,2026-05-01,2026-06-30,2026-04-25 10:00:00,U18
B27,Google,Challenge Brief 27,2026-05-01,2026-06-30,2026-04-25 10:00:00,U52
B28,Nike,Challenge Brief 28,2026-05-01,2026-06-30,2026-04-25 10:00:00,U76
B29,Stripe,Challenge Brief 29,2026-05-01,2026-06-30,2026-04-25 10:00:00,U53
B30,Pfizer,Challenge Brief 30,2026-05-01,2026-06-30,2026-04-25 10:00:00,U75
B31,Google,Challenge Brief 31,2026-05-01,2026-06-30,2026-04-25 10:00:00,U37
B32,Google,Challenge Brief 32,2026-05-01,2026-06-30,2026-04-25 10:00:00,U35
B33,Pfizer,Challenge Brief 33,2026-05-01,2026-06-30,2026-04-25 10:00:00,U32
B34,Nike,Challenge Brief 34,2026-05-01,2026-06-30,2026-04-25 10:00:00,U79
B35,Stripe,Challenge Brief 35,2026-05-01,2026-06-30,2026-04-25 10:00:00,U16
B36,Pfizer,Challenge Brief 36,2026-05-01,2026-06-30,2026-04-25 10:00:00,U91
B37,Pfizer,Challenge Brief 37,2026-05-01,2026-06-30,2026-04-25 10:00:00,U54
B38,Meta,Challenge Brief 38,2026-05-01,2026-06-30,2026-04-25 10:00:00,U33
B39,Google,Challenge Brief 39,2026-05-01,2026-06-30,2026-04-25 10:00:00,U83
B40,Meta,Challenge Brief 40,2026-05-01,2026-06-30,2026-04-25 10:00:00,U78
B41,Nike,Challenge Brief 41,2026-05-01,2026-06-30,2026-04-25 10:00:00,U64
B42,Meta,Challenge Brief 42,2026-05-01,2026-06-30,2026-04-25 10:00:00,U1
B43,Nike,Challenge Brief 43,2026-05-01,2026-06-30,2026-04-25 10:00:00,U15
B44,Tesla,Challenge Brief 44,2026-05-01,2026-06-30,2026-04-25 10:00:00,U52
B45,Pfizer,Challenge Brief 45,2026-05-01,2026-06-30,2026-04-25 10:00:00,U76
B46,Meta,Challenge Brief 46,2026-05-01,2026-06-30,2026-04-25 10:00:00,U25
B47,Meta,Challenge Brief 47,2026-05-01,2026-06-30,2026-04-25 10:00:00,U96
B48,Pfizer,Challenge Brief 48,2026-05-01,2026-06-30,2026-04-25 10:00:00,U33
B49,Pfizer,Challenge Brief 49,2026-05-01,2026-06-30,2026-04-25 10:00:00,U89
B50,Meta,Challenge Brief 50,2026-05-01,2026-06-30,2026-04-25 10:00:00,U17
