user_id,user_type,department
U1,manager,Climate
U2,manager,Marketing
U3,researcher,AI
U4,student,Finance
U5,manager,Climate
U6,designer,Marketing
U7,manager,Climate
U8,student,Climate
U9,researcher,Healthcare
U10,manager,Healthcare
U11,developer,Finance
U12,manager,AI
U13,manager,AI
U14,designer,Climate
U15,student,Finance
U16,developer,AI
U17,researcher,Marketing
U18,manager,Healthcare
U19,designer,AI
U20,developer,Healthcare
U21,manager,Healthcare
U22,developer,Climate
U23,student,AI
U24,researcher,Healthcare
U25,student,Climate
U26,designer,AI
U27,developer,Finance
U28,researcher,AI
U29,student,Marketing
U30,student,Marketing
U31,developer,Marketing
U32,designer,AI
U33,developer,Marketing
U34,designer,Finance
U35,designer,Climate
U36,researcher,Climate
U37,developer,Marketing
U38,researcher,Marketing
U39,developer,Healthcare
U40,developer,AI
U41,designer,Marketing
U42,student,AI
U43,designer,Healthcare
U44,designer,Finance
U45,manager,Healthcare
U46,manager,Marketing
U47,student,Climate
U48,student,Healthcare
U49,developer,AI
U50,student,AI
U51,student,AI
U52,developer,Healthcare
U53,student,Finance
U54,designer,Healthcare
U55,developer,Climate
U56,student,Finance
U57,researcher,Healthcare
U58,designer,Healthcare
U59,student,Climate
U60,manager,AI
U61,manager,Marketing
U62,researcher,Healthcare
U63,manager,AI
U64,student,Climate
U65,researcher,Healthcare
U66,manager,Healthcare
U67,designer,Climate
U68,student,AI
U69,designer,AI
U70,student,Healthcare
U71,designer,Healthcare
U72,developer,Finance
U73,researcher,AI
U74,developer,Finance
U75,manager,Marketing
U76,designer,Marketing
U77,student,Marketing
U78,manager,AI
U79,student,Healthcare
U80,student,AI
U81,developer,AI
U82,developer,Healthcare
U83,designer,Healthcare
U84,developer,Healthcare
U85,manager,AI
U86,manager,Finance
U87,developer,Marketing
U88,researcher,Finance
U89,designer,Marketing
U90,student,AI
U91,designer,Finance
U92,researcher,AI
U93,researcher,Healthcare
U94,student,Healthcare
U95,manager,Marketing
U96,researcher,Marketing
U97,developer,AI
U98,developer,Marketing
U99,developer,Marketing
U100,manager,Marketing
