w_icm,w_ltm,w_hawkes,hit_rate,precision_at_3,recall_at_3
0.6,0.2,0.2,0.52,0.22,0.0755
0.3,0.2,0.5,0.58,0.22,0.0735
0.4,0.2,0.4,0.59,0.2233,0.0728
0.1,0.3,0.6,0.53,0.21,0.0728
0.1,0.5,0.4,0.54,0.2133,0.0727
0.7,0.0,0.3,0.48,0.2133,0.0719
0.0,0.0,1.0,0.56,0.2133,0.0718
0.0,0.1,0.9,0.56,0.2133,0.0718
0.0,0.2,0.8,0.56,0.2133,0.0718
0.0,0.3,0.7,0.56,0.2133,0.0718
0.0,0.4,0.6,0.56,0.2133,0.0718
0.0,0.5,0.5,0.56,0.2133,0.0718
0.0,0.6,0.4,0.56,0.2133,0.0718
0.0,0.7,0.3,0.56,0.2133,0.0718
0.0,0.8,0.2,0.56,0.2133,0.0718
0.0,0.9,0.1,0.56,0.2133,0.0718
0.1,0.1,0.8,0.51,0.21,0.0716
0.1,0.0,0.9,0.54,0.21,0.0706
0.9,0.0,0.1,0.47,0.2033,0.0691
0.1,0.8,0.1,0.48,0.2067,0.0687
0.2,0.0,0.8,0.51,0.21,0.0684
0.2,0.1,0.7,0.5,0.2033,0.0682
0.5,0.1,0.4,0.5,0.21,0.0661
0.1,0.4,0.5,0.5,0.1933,0.0658
0.2,0.4,0.4,0.49,0.2033,0.0655
0.8,0.0,0.2,0.45,0.1867,0.0653
0.3,0.6,0.1,0.51,0.2067,0.0651
0.4,0.0,0.6,0.46,0.1967,0.065
0.3,0.4,0.3,0.48,0.1967,0.0645
0.4,0.1,0.5,0.49,0.1967,0.0643
0.2,0.5,0.3,0.49,0.2033,0.0642
0.1,0.7,0.2,0.51,0.2033,0.0637
0.3,0.3,0.4,0.47,0.1867,0.0631
0.1,0.9,0.0,0.51,0.2033,0.0622
0.9,0.1,0.0,0.47,0.1833,0.0618
0.4,0.5,0.1,0.51,0.1967,0.0617
0.2,0.3,0.5,0.47,0.18,0.0616
0.2,0.2,0.6,0.46,0.1867,0.0614
0.3,0.5,0.2,0.48,0.1867,0.0611
0.6,0.0,0.4,0.49,0.18,0.0611
0.2,0.8,0.0,0.48,0.19,0.061
0.3,0.0,0.7,0.46,0.1767,0.0608
0.5,0.0,0.5,0.49,0.19,0.0607
0.2,0.6,0.2,0.46,0.18,0.0603
0.3,0.7,0.0,0.44,0.1733,0.0602
0.1,0.2,0.7,0.48,0.1767,0.0601
0.8,0.1,0.1,0.47,0.1767,0.0595
0.6,0.3,0.1,0.46,0.1867,0.0594
0.1,0.6,0.3,0.45,0.1767,0.0593
0.5,0.4,0.1,0.45,0.18,0.0591
0.4,0.4,0.2,0.44,0.1667,0.0587
0.2,0.7,0.1,0.41,0.17,0.0581
0.7,0.2,0.1,0.38,0.1667,0.058
0.3,0.1,0.6,0.48,0.17,0.0577
1.0,0.0,0.0,0.42,0.1833,0.0575
0.6,0.1,0.3,0.43,0.17,0.0574
0.8,0.2,0.0,0.43,0.1733,0.0573
0.5,0.5,0.0,0.43,0.1767,0.0566
0.5,0.2,0.3,0.43,0.1767,0.0565
0.5,0.3,0.2,0.41,0.1767,0.0563
0.7,0.1,0.2,0.42,0.1667,0.0561
0.0,1.0,0.0,0.48,0.1733,0.0557
0.4,0.6,0.0,0.42,0.1733,0.0555
0.4,0.3,0.3,0.42,0.16,0.0515
0.6,0.4,0.0,0.38,0.1433,0.0473
0.7,0.3,0.0,0.37,0.1533,0.0463
